,NUMBER_OF_PASSENGER,datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
1532,8,2020-03-06 01:00:00,"Istanbul,Turkey",14.7,8.7,11.0,14.7,7.2,10.8,8.0,82.0,0.8,100,12.5,rain,,0.0,20.5,15.6,224.5,1009.7,60.6,11.5,144.3,12.4,6,,2020-03-06T07:29:59,2020-03-06T19:01:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1533,6,2020-03-06 02:00:00,"Istanbul,Turkey",14.7,8.7,11.0,14.7,7.2,10.8,8.0,82.0,0.8,100,12.5,rain,,0.0,20.5,15.6,224.5,1009.7,60.6,11.5,144.3,12.4,6,,2020-03-06T07:29:59,2020-03-06T19:01:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1534,10,2020-03-06 03:00:00,"Istanbul,Turkey",14.7,8.7,11.0,14.7,7.2,10.8,8.0,82.0,0.8,100,12.5,rain,,0.0,20.5,15.6,224.5,1009.7,60.6,11.5,144.3,12.4,6,,2020-03-06T07:29:59,2020-03-06T19:01:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1535,12,2020-03-06 04:00:00,"Istanbul,Turkey",14.7,8.7,11.0,14.7,7.2,10.8,8.0,82.0,0.8,100,12.5,rain,,0.0,20.5,15.6,224.5,1009.7,60.6,11.5,144.3,12.4,6,,2020-03-06T07:29:59,2020-03-06T19:01:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1536,496,2020-03-06 05:00:00,"Istanbul,Turkey",14.7,8.7,11.0,14.7,7.2,10.8,8.0,82.0,0.8,100,12.5,rain,,0.0,20.5,15.6,224.5,1009.7,60.6,11.5,144.3,12.4,6,,2020-03-06T07:29:59,2020-03-06T19:01:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1537,5750,2020-03-06 06:00:00,"Istanbul,Turkey",14.7,8.7,11.0,14.7,7.2,10.8,8.0,82.0,0.8,100,12.5,rain,,0.0,20.5,15.6,224.5,1009.7,60.6,11.5,144.3,12.4,6,,2020-03-06T07:29:59,2020-03-06T19:01:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1538,22703,2020-03-06 07:00:00,"Istanbul,Turkey",14.7,8.7,11.0,14.7,7.2,10.8,8.0,82.0,0.8,100,12.5,rain,,0.0,20.5,15.6,224.5,1009.7,60.6,11.5,144.3,12.4,6,,2020-03-06T07:29:59,2020-03-06T19:01:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1539,27415,2020-03-06 08:00:00,"Istanbul,Turkey",14.7,8.7,11.0,14.7,7.2,10.8,8.0,82.0,0.8,100,12.5,rain,,0.0,20.5,15.6,224.5,1009.7,60.6,11.5,144.3,12.4,6,,2020-03-06T07:29:59,2020-03-06T19:01:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1540,15556,2020-03-06 09:00:00,"Istanbul,Turkey",14.7,8.7,11.0,14.7,7.2,10.8,8.0,82.0,0.8,100,12.5,rain,,0.0,20.5,15.6,224.5,1009.7,60.6,11.5,144.3,12.4,6,,2020-03-06T07:29:59,2020-03-06T19:01:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1541,10222,2020-03-06 10:00:00,"Istanbul,Turkey",14.7,8.7,11.0,14.7,7.2,10.8,8.0,82.0,0.8,100,12.5,rain,,0.0,20.5,15.6,224.5,1009.7,60.6,11.5,144.3,12.4,6,,2020-03-06T07:29:59,2020-03-06T19:01:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1542,10221,2020-03-06 11:00:00,"Istanbul,Turkey",14.7,8.7,11.0,14.7,7.2,10.8,8.0,82.0,0.8,100,12.5,rain,,0.0,20.5,15.6,224.5,1009.7,60.6,11.5,144.3,12.4,6,,2020-03-06T07:29:59,2020-03-06T19:01:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1543,12385,2020-03-06 12:00:00,"Istanbul,Turkey",14.7,8.7,11.0,14.7,7.2,10.8,8.0,82.0,0.8,100,12.5,rain,,0.0,20.5,15.6,224.5,1009.7,60.6,11.5,144.3,12.4,6,,2020-03-06T07:29:59,2020-03-06T19:01:04,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1544,11430,2020-03-06 13:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1545,12294,2020-03-06 14:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1546,16407,2020-03-06 15:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1547,20296,2020-03-06 16:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1548,24967,2020-03-06 17:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1549,31857,2020-03-06 18:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1550,22204,2020-03-06 19:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1551,12073,2020-03-06 20:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1552,8032,2020-03-06 21:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1553,7273,2020-03-06 22:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1554,4698,2020-03-06 23:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1555,1939,2020-03-07 00:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1556,1035,2020-03-07 01:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1557,702,2020-03-07 02:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1558,388,2020-03-07 03:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1559,239,2020-03-07 04:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1560,375,2020-03-07 05:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1561,2691,2020-03-07 06:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1562,7180,2020-03-07 07:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1563,10933,2020-03-07 08:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1564,9244,2020-03-07 09:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1565,8529,2020-03-07 10:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1566,10665,2020-03-07 11:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1567,14655,2020-03-07 12:00:00,"Istanbul,Turkey",19.7,10.1,14.5,19.7,10.1,14.5,7.2,63.4,0.0,0,0.0,,,0.0,11.2,13.0,191.5,1012.8,13.0,13.2,206.8,18.0,7,,2020-03-07T07:28:23,2020-03-07T19:02:12,0.46,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1568,18368,2020-03-07 13:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1569,18793,2020-03-07 14:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1570,18135,2020-03-07 15:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1571,18257,2020-03-07 16:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1572,20712,2020-03-07 17:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1573,22557,2020-03-07 18:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1574,20388,2020-03-07 19:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1575,14707,2020-03-07 20:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1576,9655,2020-03-07 21:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1577,8783,2020-03-07 22:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1578,5293,2020-03-07 23:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1579,2561,2020-03-08 00:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1580,1441,2020-03-08 01:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1581,1008,2020-03-08 02:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1582,547,2020-03-08 03:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1583,321,2020-03-08 04:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1584,381,2020-03-08 05:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1585,1342,2020-03-08 06:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1586,2932,2020-03-08 07:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1587,4735,2020-03-08 08:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1588,5363,2020-03-08 09:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1589,5980,2020-03-08 10:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1590,7765,2020-03-08 11:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1591,10828,2020-03-08 12:00:00,"Istanbul,Turkey",22.5,12.1,16.9,22.5,12.1,16.9,6.9,53.3,0.0,0,0.0,,,0.0,11.2,8.5,173.7,1015.4,37.5,13.7,97.5,8.4,4,,2020-03-08T07:26:46,2020-03-08T19:03:19,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1592,13795,2020-03-08 13:00:00,"Istanbul,Turkey",17.5,9.5,13.3,17.5,6.8,12.9,7.3,67.7,0.0,0,0.0,,,0.0,7.6,22.4,78.8,1009.7,28.2,12.8,200.9,17.4,7,,2020-03-09T07:25:08,2020-03-09T19:04:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1593,14150,2020-03-08 14:00:00,"Istanbul,Turkey",17.5,9.5,13.3,17.5,6.8,12.9,7.3,67.7,0.0,0,0.0,,,0.0,7.6,22.4,78.8,1009.7,28.2,12.8,200.9,17.4,7,,2020-03-09T07:25:08,2020-03-09T19:04:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1594,13738,2020-03-08 15:00:00,"Istanbul,Turkey",17.5,9.5,13.3,17.5,6.8,12.9,7.3,67.7,0.0,0,0.0,,,0.0,7.6,22.4,78.8,1009.7,28.2,12.8,200.9,17.4,7,,2020-03-09T07:25:08,2020-03-09T19:04:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1595,13992,2020-03-08 16:00:00,"Istanbul,Turkey",17.5,9.5,13.3,17.5,6.8,12.9,7.3,67.7,0.0,0,0.0,,,0.0,7.6,22.4,78.8,1009.7,28.2,12.8,200.9,17.4,7,,2020-03-09T07:25:08,2020-03-09T19:04:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1596,14536,2020-03-08 17:00:00,"Istanbul,Turkey",17.5,9.5,13.3,17.5,6.8,12.9,7.3,67.7,0.0,0,0.0,,,0.0,7.6,22.4,78.8,1009.7,28.2,12.8,200.9,17.4,7,,2020-03-09T07:25:08,2020-03-09T19:04:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
1597,14997,2020-03-08 18:00:00,"Istanbul,Turkey",17.5,9.5,13.3,17.5,6.8,12.9,7.3,67.7,0.0,0,0.0,,,0.0,7.6,22.4,78.8,1009.7,28.2,12.8,200.9,17.4,7,,2020-03-09T07:25:08,2020-03-09T19:04:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
