fusedyear,fusedmonth,fusedday,fusedhour,toplam_yolcu
2020,1,11,19,17088
2020,1,11,20,11007
2020,1,11,21,7484
2020,1,11,22,6656
2020,1,11,23,4393
2020,1,12,0,2313
2020,1,12,1,1408
2020,1,12,2,724
2020,1,12,3,416
2020,1,12,4,270
2020,1,12,5,318
2020,1,12,6,1407
2020,1,12,7,2709
2020,1,12,8,4343
2020,1,12,9,5021
2020,1,12,10,5390
2020,1,12,11,6879
2020,1,12,12,9476
2020,1,12,13,11867
2020,1,12,14,12569
2020,1,12,15,12741
2020,1,12,16,13073
2020,1,12,17,13729
2020,1,12,18,13736
2020,1,12,19,10679
2020,1,12,20,7550
2020,1,12,21,5881
2020,1,12,22,4853
2020,1,12,23,2579
2020,1,13,0,112
2020,1,13,1,2
2020,1,13,2,1
2020,1,13,5,520
2020,1,13,6,6175
2020,1,13,9,15457
2020,1,13,10,11039
2020,1,13,11,11581
2020,1,13,12,12972
2020,1,13,13,12876
2020,1,13,14,13539
2020,1,13,15,16633
2020,1,13,16,19245
2020,1,13,19,17744
2020,1,13,20,8818
2020,1,13,21,6162
2020,1,13,22,4538
2020,1,13,23,2401
2020,1,14,0,92
2020,1,14,1,16
2020,1,14,2,2
2020,1,14,3,1
2020,1,14,5,454
2020,1,14,6,5678
2020,1,14,7,21321
2020,1,14,9,16275
2020,1,14,10,11592
2020,1,14,11,11794
2020,1,14,12,13551
2020,1,14,13,13598
2020,1,14,14,13885
2020,1,14,15,17012
2020,1,14,16,19113
2020,1,14,19,18445
2020,1,14,20,9112
2020,1,14,21,6452
2020,1,14,22,5271
2020,1,14,23,3046
2020,1,15,0,98
2020,1,15,1,5
2020,1,15,2,1
2020,1,15,3,12
2020,1,15,4,1
2020,1,15,5,484
2020,1,15,6,5534
2020,1,15,7,20159
2020,1,15,9,15166
2020,1,15,10,10821
2020,1,15,11,11662
2020,1,15,12,13090
2020,1,15,13,13765
2020,1,15,14,13715
2020,1,15,15,15854
2020,1,15,16,18534
2020,1,15,19,18917
2020,1,15,20,9269
2020,1,15,21,6967
2020,1,15,22,5426
2020,1,15,23,3162
2020,1,16,0,100
2020,1,16,1,2
2020,1,16,5,491
2020,1,16,6,5276
2020,1,16,7,19262
2020,1,16,9,15432
2020,1,16,10,11409
2020,1,16,11,11599
2020,1,16,12,13556
2020,1,16,13,13723
2020,1,16,14,13975
2020,1,16,15,15291
2020,1,16,16,18395
2020,1,16,19,18009
2020,1,16,20,8911
2020,1,16,21,6159
2020,1,16,22,5147
2020,1,16,23,3362
2020,1,17,0,122
2020,1,17,1,2
2020,1,17,2,2
2020,1,17,3,1
2020,1,17,5,458
2020,1,17,6,5219
2020,1,17,7,18495
2020,1,17,9,16195
2020,1,17,10,14497
2020,1,17,11,16632
2020,1,17,12,16282
2020,1,17,13,14752
2020,1,17,14,16429
2020,1,17,15,17797
2020,1,17,16,20699
2020,1,17,19,20987
2020,1,17,20,11077
2020,1,17,21,7121
2020,1,17,22,6250
2020,1,17,23,3778
2020,1,18,0,1636
2020,1,18,1,804
2020,1,18,2,464
2020,1,18,3,242
2020,1,18,4,182
2020,1,18,5,398
2020,1,18,6,2540
2020,1,18,7,6519
2020,1,18,8,10138
2020,1,18,9,8010
2020,1,18,10,8672
2020,1,18,11,9759
2020,1,18,12,13264
2020,1,18,13,16174
2020,1,18,14,17829
2020,1,18,15,18010
2020,1,18,16,17198
2020,1,18,17,18750
2020,1,18,18,19355
2020,1,18,19,15370
2020,1,18,20,10007
2020,1,18,21,7084
2020,1,18,22,6660
2020,1,18,23,4008
2020,1,19,0,1857
2020,1,19,1,1140
2020,1,19,2,631
2020,1,19,3,380
2020,1,19,4,227
2020,1,19,5,301
2020,1,19,6,1321
2020,1,19,7,2675
2020,1,19,8,4616
2020,1,19,9,5130
2020,1,19,10,6530
2020,1,19,11,7683
2020,1,19,12,10641
2020,1,19,13,13271
2020,1,19,14,14182
2020,1,19,15,13900
2020,1,19,16,13576
2020,1,19,17,14133
2020,1,19,18,14689
2020,1,19,19,11759
2020,1,19,20,7797
2020,1,19,21,6903
2020,1,19,22,5537
2020,1,19,23,2865
2020,1,20,0,129
2020,1,20,1,7
2020,1,20,2,2
2020,1,20,3,7
2020,1,20,5,463
2020,1,20,6,5300
2020,1,20,7,17778
2020,1,20,9,13776
2020,1,20,10,10204
2020,1,20,11,11307
2020,1,20,12,13150
2020,1,20,13,13941
2020,1,20,14,14569
2020,1,20,15,14308
2020,1,20,16,16626
