name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Istanbul,Turkey",2020-01-16,9.8,7.8,8.7,6.8,4.8,5.9,3.9,72.2,0,0,0,,,0,,27.1,70.2,1026.9,79.1,13.4,94.6,8.2,4,,2020-01-16T08:26:53,2020-01-16T18:00:38,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-17,9.5,6.6,7.8,6.1,3,4.4,3.5,75.2,0.39,100,8.33,rain,,0,29.5,29.2,43.3,1025.8,87.7,13.2,80.9,7,3,,2020-01-17T08:26:26,2020-01-17T18:01:47,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-18,8.6,6.3,7.4,5.3,3,4.3,3.6,76.8,0.57,100,16.67,rain,,0,24.1,23.5,39.5,1025.4,82.2,13.5,32.6,2.9,2,,2020-01-18T08:25:57,2020-01-18T18:02:57,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-19,7.3,4.3,6.1,4.6,1.9,3.6,2.1,76,0.58,100,16.67,rain,,0,25.9,24,66.5,1023.2,86.6,12.9,72.1,6.3,4,,2020-01-19T08:25:25,2020-01-19T18:04:07,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-20,6.8,3.6,5.1,3.5,-0.9,1.4,2.5,83.7,12.41,100,16.67,rain,,0.9,31.7,29.6,150,1033.4,82.7,12.4,17.3,1.5,1,,2020-01-20T08:24:51,2020-01-20T18:05:18,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-21,4.4,3.3,3.9,2.9,-1.2,1,-0.2,75.1,0.14,100,8.33,rain,,0,37.1,21.2,243.6,1038.6,87.7,13.2,78.7,6.8,3,,2020-01-21T08:24:16,2020-01-21T18:06:29,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-22,7.4,-0.8,3.7,5.9,-3.6,1.9,0.1,77.8,0,0,0,,,0,16.6,15.8,209.5,1030.1,4.7,11.3,103.1,8.9,5,,2020-01-22T08:23:38,2020-01-22T18:07:41,0.98,Clear,Clear conditions throughout the day.,clear-day,"D8508,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-23,7.6,5.3,6.6,4.8,2.1,3.4,0.6,66.1,0.01,100,4.17,rain,,0,14.8,21.9,122,1025.7,46.2,13.8,89.9,7.9,4,,2020-01-23T08:22:58,2020-01-23T18:08:54,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-24,8,1.8,5.1,7.4,-0.5,3.9,-1.3,63.6,0.1,100,4.17,rain,,0,22.3,10.1,164.5,1031.8,28.7,13.8,125.4,10.7,5,,2020-01-24T08:22:16,2020-01-24T18:10:07,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
"Istanbul,Turkey",2020-01-25,10.8,4.8,7.6,10.8,1.6,5.7,1.7,66.5,0,0,0,,,0,25.4,17.3,218.5,1026.6,1.7,13.1,127.5,10.9,5,,2020-01-25T08:21:33,2020-01-25T18:11:20,0,Clear,Clear conditions throughout the day.,clear-day,"17063099999,17119099999,17061099999,17064099999,17059099999,17060099999"
